,wordcount
bhre,1
bhukto.,1
bhut,3
bh…,1
biased,2
big,4
biggest,3
bihar,1
bihari.,1
bijli,2
bilkul,1
bimari,1
bio-data,1
biscuit...,1
biscuits,1
biscuits.,1
bi…,1
bjp,13
bj…,1
black,1
blame,3
blank,1
bless,2
blessed.,1
block,1
blocked,4
blue,1
bnaya,1
body,1
"body,",14
bol,1
bole,1
boli,1
bolu,1
boobs,1
book,2
border,1
bosses,2
bote,1
both,2
boycott,1
bribe,1
bridge,2
bring,1
bro..Vikas,1
bs,1
bta,1
budhimaan,1
bulate,1
bunglow,2
bura,1
burning,2
bus,1
busy,3
but,14
by,13
bypoll,9
by…,1
b…,3
c,2
call,2
calu,1
can,7
cancels,3
candidate,1
candidate…,1
card,1
care,1
care.,1
career,1
case,1
cc,3
cell,1
central,1
chahat,1
chahiye,2
"chahiye,agar",1
chahiye.,1
chahiye.....,1
chahte,1
chahti,1
chai,1
chaiye,1
chaiye.,1
chal,3
challenge,6
chalne,1
chalu,1
change,1
changing,1
channel,1
channels,5
chapter,1
charg,2
chasma,1
"chaudry,",3
chaye,1
chehra,1
chelagiri,1
chenal,1
chhat,1
chhor,1
chhoro,1
chhote,1
children.,1
chillana,1
chinta,1
chip,11
chipwali,1
chla,1
chlata,1
chodo,2
chose,1
chu**ya,1
chuliya,1
chupaya,1
chu×+ya,1
citizens,2
city,1
"civilians,",1
claps,1
cm,2
coffee,1
collect,1
comes,1
comment,1
comments!!,1
commission,2
common,5
communal,1
community,2
compared,1
complete,1
concerned,1
conc…,1
confined,1
congress,2
contact,1
control,2
controlling,2
cool,1
corporates,1
"corporates,",1
correct,1
could,3
coul…,1
creat,1
crisis.,1
criticising,1
criticism.,1
crore,1
crores,1
crown…,1
crying,2
cultural,1
cup,1
currency,2
current,4
cut,3
cut.,2
cuts,2
c…,3
dalali,2
dalit,1
dalit-virodhi,1
dalunga,1
dar,2
"dar,",1
darr,1
dat,1
data,1
daughter,3
day,3
days,1
de,1
de......!!,1
dead,1
dear,3
dear..,1
debate,6
debates,3
debates..,1
debeit,1
decisions,1
defend,1
definitely,1
definition,8
dekar,1
dekh,2
dekha,2
dekha.,1
dekhahn,1
dekhe,1
dekhe😂,2
dekhke,1
dekhkr,1
dekhna,2
dekhne,1
dekho,1
democracy,1
dena,6
dene,1
department...no,2
dermi,1
desh,5
deshdrohi,1
destruct,14
destruction,14
details,1
develop,1
development,1
devi,1
devices,1
devtao,1
de…,1
dhadak,1
dhar,1
dharam,1
dharme,1
di,3
did,1
diesel,1
different,1
different.,1
dijiye,3
dikh,1
dikha,1
dikhane,1
dikhegi,1
dikhwe,1
dil,8
dilip,1
din,6
dini,1
dinner,1
dino,1
discredited,1
diwali,1
diya,7
di…,1
do,9
do.,3
documents,1
documents.,1
does,16
doesn't,4
dogs,3
doing,1
dollars,1
don't,3
done,2
dono,3
dont,1
don’t…,1
doo,1
door,1
doori,1
down,2
do…,1
drinks/beverages,1
drive,1
drying,2
dukhi,1
dunga....,1
durable,1
dushre,1
duty,2
e,1
each,1
earlier:,1
early,2
earth,1
eats,1
education..#proudofmyreligion,1
ek,20
ek…,1
election,1
election…,1
else,1
emotional,1
endless,1
enema,1
engineers,8
entire,1
entry,1
environment,1
esi,1
et,1
eve,1
even,2
ever,1
everything…,1
everywhere,1
everywhere.,1
evil,1
evm,2
evnig,1
ev…,1
ex,1
exactly,1
example,1
except,1
exchequer.,1
excise,1
existential,1
existing,1
experienced,1
expert,1
explain,1
explaining,2
expose,1
exposing,1
extremists,1
face,1
facing,1
facts,2
fake,2
fall,3
family...!!,1
fan,4
"fan,",1
fan...☺☺,1
fantastic,1
farq,1
farzi.,1
fas,1
fast,1
fast..,1
fasting,1
favorite,2
favorites,1
favourite,1
felanewala,1
fike,1
fil,1
fill,1
finger,1
fir,3
fizzle,1
focus,2
follow,3
following,2
fool,1
fool...,1
fools,1
for,40
forces,1
forever,2
forget,1
forgot,1
form,3
forms.I,1
found,1
foundation,1
four,1
frame,2
free,2
friend,1
"friend,",1
friends.,6
frnd,1
from,22
"from?""",3
from?”,3
fruit',1
ft,1
fuel,2
full,1
fullfill,1
g,3
ga?,1
gad,2
gadi,1
gai,3
gal,1
gal...,3
galat,1
galti,2
game,1
gand,1
gandhe,1
ganesh,1
gangs,1
gappa,1
garibo,2
gathabndhan,1
gathered,2
gave,1
gay,2
gaya,4
gayab,2
gaye,2
gayee.,1
gem,1
get,1
ghar,1
ghatiya,1
ghisenge,1
ghoshna,1
ghumne,1
